node	x	y	z
1	-3.07975	-1.6764	0
2	-3.07975	1.6764	0
3	3.07975	-1.6764	0
4	3.07975	1.6764	0
5	-2.81093	-1.50918	1.6764
6	-2.81093	-0.72602	1.6764
7	-2.81093	0.72602	1.6764
8	-2.81093	1.50918	1.6764
9	-2.05317	-1.50918	1.6764
10	-2.05317	1.50918	1.6764
11	2.05317	-1.50918	1.6764
12	2.05317	1.50918	1.6764
13	2.81093	-1.50918	1.6764
14	2.81093	-0.72602	1.6764
15	2.81093	0.72602	1.6764
16	2.81093	1.50918	1.6764
17	-2.60558	3.607E-16	2.95704
18	2.60558	0	2.95704
19	-2.54212	-1.34197	3.3528
20	-2.54212	1.34197	3.3528
21	-1.02658	-1.34197	3.3528
22	-1.02658	1.34197	3.3528
23	-1.02021	1.34197	3.3528
24	1.02258	-1.34197	3.3528
25	1.02658	-1.34197	3.3528
26	1.02658	1.34197	3.3528
27	2.54212	-1.34197	3.3528
28	2.54212	1.34197	3.3528
29	-2.2733	-1.17475	5.0292
30	-2.2733	0	5.0292
31	-2.2733	1.17475	5.0292
32	-1.13665	-1.17475	5.0292
33	-1.13665	-5.41E-16	5.0292
34	-1.13665	1.17475	5.0292
35	0	-1.17475	5.0292
36	-3.607E-16	1.17475	5.0292
37	1.13665	-1.17475	5.0292
38	1.13665	0	5.0292
39	1.13665	1.17475	5.0292
40	2.2733	-1.17475	5.0292
41	2.2733	0	5.0292
42	2.2733	1.17475	5.0292
43	-2.07834	-1.05256	6.2484
44	-2.07834	1.05256	6.2484
45	-0.94169	-1.05256	6.2484
46	-0.94169	1.05256	6.2484
47	0.94169	-1.05256	6.2484
48	0.94169	1.05256	6.2484
49	2.07834	-1.05256	6.2484
50	2.07834	1.05256	6.2484
51	-2.0557	-4.454E-13	6.38994
52	2.0557	-4.454E-13	6.38994
53	-1.88338	-0.93036	7.4676
54	-1.88338	0.93036	7.4676
55	-7.214E-16	-0.93036	7.4676
56	-1.135E-15	0.93036	7.4676
57	1.88338	-0.93036	7.4676
58	1.88338	0.93036	7.4676
59	-1.75543	-0.85017	8.2677
60	-1.75543	0.85017	8.2677
61	1.75543	-0.85017	8.2677
62	1.75543	0.85017	8.2677
63	-1.74336	0	8.34317
64	1.74336	0	8.34317
65	-0.94986	-0.83837	8.38547
66	-0.94986	0.83837	8.38547
67	0.94986	-0.83837	8.38547
68	0.94986	0.83837	8.38547
69	-1.62749	-0.76998	9.0678
70	-1.62749	0.76998	9.0678
71	1.62749	-0.76998	9.0678
72	1.62749	0.76998	9.0678
73	0.00079	-0.74484	9.31863
74	0.00079	0.74484	9.31863
75	-1.48467	4.512E-17	9.96091
76	1.48467	4.512E-17	9.96091
77	-1.3716	-0.6096	10.668
78	-1.3716	0.6096	10.668
79	-0.6858	-7.67E-16	10.668
80	-1.082E-15	-0.6096	10.668
81	-1.082E-15	0.6096	10.668
82	0.6858	-7.219E-16	10.668
83	1.3716	-0.6096	10.668
84	1.3716	0.6096	10.668
85	-1.55813	0	11.3284
86	1.55813	5.866E-16	11.3284
87	-1.74466	-0.6096	11.9888
88	-1.74466	0.6096	11.9888
89	1.74466	-0.6096	11.9888
90	1.74466	0.6096	11.9888
91	-4.521E-16	-0.6096	12.3789
92	-7.214E-16	0.6096	12.3789
93	-1.93119	0	12.6492
94	1.93119	1.263E-15	12.6492
95	-2.11773	-0.6096	13.3096
96	-2.11773	0.6096	13.3096
97	2.11773	-0.6096	13.3096
98	2.11773	0.6096	13.3096
99	-0.90249	-0.6096	13.50465
100	-0.90249	0.6096	13.50465
101	0.90249	-0.6096	13.50465
102	0.90249	0.6096	13.50465
103	-2.30426	0	13.97
104	2.30426	1.263E-15	13.97
105	-2.49079	-0.6096	14.6304
106	-2.49079	0.6096	14.6304
107	-1.80499	-0.6096	14.6304
108	-1.80499	0.6096	14.6304
109	1.80499	-0.6096	14.6304
110	1.80499	0.6096	14.6304
111	2.49079	-0.6096	14.6304
112	2.49079	0.6096	14.6304
113	-2.67732	0	15.2908
114	2.67732	1.263E-15	15.2908
115	-2.86385	-0.6096	15.9512
116	-2.86385	0.6096	15.9512
117	2.86385	-0.6096	15.9512
118	2.86385	0.6096	15.9512
119	-3.0358	0	16.5608
120	3.0358	1.263E-15	16.5608
121	-3.20775	-0.6096	17.1704
122	-3.20775	0.6096	17.1704
123	-2.86385	-0.6096	17.1704
124	-2.86385	0.6096	17.1704
125	2.86385	-0.6096	17.1704
126	2.86385	0.6096	17.1704
127	3.20775	-0.6096	17.1704
128	3.20775	0.6096	17.1704
129	-3.39403	-5.866E-16	17.8308
130	3.39403	1.805E-15	17.8308
131	-3.58031	-0.6096	18.4912
